Timestamp,CAN_ID,Attack_Type,Payload,Mitigation
2026-02-16 15:36:07,0x01A,CAN Bus Flooding,FF FF FF FF,BLOCKED
2026-02-16 15:41:16,0x01A,Braking System (ABS),CRITICAL,CAN Bus Injection,obd_bridge -> wifi_gateway.bin (8841),ELIMINATED
2026-02-16 15:42:59,0x01A,Braking System (ABS),CRITICAL,CAN Bus Injection,init -> bluetooth_stack.d (1105),ELIMINATED
2026-02-16 16:14:47,22,22,SSH Remote Access,HIGH,SSH Brute Force,192.168.1.54:61754,BLOCKED
2026-02-16 16:14:47,0x01A,N/A,Braking System (ABS),CRITICAL,CAN Bus Injection,ECU_Gateway (Internal),BLOCKED
2026-02-16 16:51:31,0x01A,Braking System (ABS),CAN_BUS,CRITICAL,explorer.exe -> chrome.exe -> suspicious_script.js,✅ TRUE POSITIVE,🔒 COMPLETED (Host Isolated),🛠️ PATCH PENDING (Update Required)
2026-02-16 16:54:08,0x01A,Braking System (ABS),CAN_BUS,CRITICAL,ECU_Gateway (Internal),services.exe -> svchost.exe (LocalService) -> malicious_thread.dll,✅ TRUE POSITIVE,🔒 COMPLETED (Host Isolated),🛠️ PATCH PENDING (CVE-2026-1234)
2026-02-16 16:56:22,0x01A,Braking System (ABS),ECU_Gateway (Internal),CRITICAL,✅ TRUE POSITIVE,🔒 COMPLETED
2026-02-16 16:57:06,22,22,SSH Remote Access,HIGH,SSH Brute Force,192.168.1.119:47359,BLOCKED
2026-02-16 16:57:07,0x01A,N/A,Braking System (ABS),CRITICAL,CAN Bus Injection,ECU_Gateway (Internal),BLOCKED
2026-02-16 17:02:05,22,22,SSH Remote Access,HIGH,SSH Brute Force,192.168.1.80:62216,BLOCKED,✅ TRUE POSITIVE,🛠️ PATCH APPLIED (CVE-2024-4567),init -> bluetooth_stack.d -> DRIVER_PHONE
2026-02-16 17:02:06,0x01A,N/A,Braking System (ABS),CRITICAL,CAN Bus Injection,ECU_Gateway (Internal),BLOCKED,✅ TRUE POSITIVE,🛠️ PATCH APPLIED (CVE-2026-1234),wininit.exe -> lsass.exe -> credential_harvester.exe
2026-02-18 21:03:55,22,22,SSH Remote Access,HIGH,SSH Brute Force,192.168.1.199:50833,BLOCKED,✅ TRUE POSITIVE,🛠️ PATCH APPLIED (CVE-2024-4567),services.exe -> svchost.exe -> malicious_thread.dll
2026-02-18 21:03:55,0x01A,N/A,Braking System (ABS),CRITICAL,CAN Bus Injection,ECU_Gateway (Internal),BLOCKED,✅ TRUE POSITIVE,🛠️ PATCH APPLIED (CVE-2026-1234),wininit.exe -> lsass.exe -> credential_harvester.exe
2026-02-18 21:05:58,22,22,SSH Remote Access,HIGH,SSH Brute Force,192.168.1.127:42480,BLOCKED,✅ TRUE POSITIVE,🛠️ PATCH APPLIED (CVE-2024-4567),services.exe -> svchost.exe -> malicious_thread.dll
2026-02-18 21:05:58,0x01A,N/A,Braking System (ABS),CRITICAL,CAN Bus Injection,ECU_Gateway (Internal),BLOCKED,✅ TRUE POSITIVE,🛠️ PATCH APPLIED (CVE-2026-1234),wininit.exe -> lsass.exe -> credential_harvester.exe
2026-02-18 21:09:19,22,22,SSH Remote Access,HIGH,SSH Brute Force,192.168.1.141:41632,BLOCKED,✅ TRUE POSITIVE,🛠️ PATCH APPLIED (CVE-2024-4567),explorer.exe -> chrome.exe -> suspicious_script.js
2026-02-18 21:09:20,0x01A,N/A,Braking System (ABS),CRITICAL,CAN Bus Injection,ECU_Gateway (Internal),BLOCKED,✅ TRUE POSITIVE,🛠️ PATCH APPLIED (CVE-2026-1234),init -> bluetooth_stack.d -> DRIVER_PHONE
2026-02-18 21:10:02,22,22,SSH Remote Access,HIGH,SSH Brute Force,192.168.1.52:44955,BLOCKED,✅ TRUE POSITIVE,🛠️ PATCH APPLIED (CVE-2024-4567),explorer.exe -> chrome.exe -> suspicious_script.js
2026-02-18 21:10:03,0x01A,N/A,Braking System (ABS),CRITICAL,CAN Bus Injection,ECU_Gateway (Internal),BLOCKED,✅ TRUE POSITIVE,🛠️ PATCH APPLIED (CVE-2026-1234),wininit.exe -> lsass.exe -> credential_harvester.exe
